total,less_10000_total,less_10000_dialup,less_10000_broadband,less_10000_none,_10000_19900_total,_10000_19900_dialup,_10000_19900_broadband,_10000_19900_none,_20000_34999_total,_20000_34999_dialup,_20000_34999_broadband,_20000_34999_none,_35000_49999_total,_35000_49999_dialup,_35000_49999_broadband,_35000_49999_none,_50000_74900_total,_50000_74900_dialup,_50000_74900_broadband,_50000_74900_none,greater_75000_total,greater_75000_dialup,greater_75000_broadband,greater_75000_none,id,geographic_area_name
104954,3381,63,3161,157,4936,0,3480,1456,5875,61,4779,1035,7027,0,6380,647,11540,45,10560,935,72195,87,70278,1830,6041,"Marin County, California"
33794,1447,0,1027,420,4963,75,3837,1051,4817,68,3688,1061,5014,0,4150,864,7239,60,6251,928,10314,0,9668,646,6045,"Mendocino County, California"
79487,5086,0,3999,1087,7877,0,5435,2442,12401,0,10315,2086,9899,0,8608,1291,14350,0,13666,684,29874,0,27894,1980,6047,"Merced County, California"
126299,4412,19,3529,864,8180,191,5403,2586,15518,0,12098,3420,14379,58,12049,2272,24000,0,20653,3347,59810,0,56498,3312,6053,"Monterey County, California"
47315,1543,0,1185,358,2374,0,1897,477,5177,105,3768,1304,3974,0,3461,513,7511,0,6917,594,26736,0,26155,581,6055,"Napa County, California"
41447,1920,0,1374,546,4201,0,2574,1627,5031,82,4059,890,5229,0,4934,295,5939,71,5380,488,19127,30,18088,1009,6057,"Nevada County, California"
1040394,47197,222,37460,9515,54746,48,39833,14865,93970,190,76745,17035,91982,221,83128,8633,152435,556,140477,11402,600064,344,580481,19239,6059,"Orange County, California"
144691,5754,0,3943,1811,7995,131,5122,2742,16466,77,12568,3821,12360,39,10808,1513,20294,0,19109,1185,81822,0,79549,2273,6061,"Placer County, California"
728103,42146,151,32412,9583,57285,207,42232,14846,96928,474,76695,19759,82796,88,73918,8790,124204,245,112803,11156,324744,381,309056,15307,6065,"Riverside County, California"
543560,28891,72,21997,6822,44645,430,31808,12407,62840,199,50786,11855,62056,91,56296,5669,92332,132,87151,5049,252796,280,243768,8748,6067,"Sacramento County, California"
638647,33089,0,22407,10682,55286,284,35141,19861,84385,184,64084,20117,74761,194,62490,12077,117125,312,103630,13183,274001,217,260969,12815,6071,"San Bernardino County, California"
1130911,48592,86,39519,8987,72645,293,51842,20510,119013,410,100442,18161,119170,116,107840,11214,181317,347,169950,11020,590174,692,572610,16872,6073,"San Diego County, California"
362827,19249,0,12355,6894,25750,85,14117,11548,29312,0,21928,7384,23032,500,18852,3680,36650,0,33268,3382,228834,137,222585,6112,6075,"San Francisco County, California"
231917,10934,0,6647,4287,20334,501,12549,7284,30953,324,22648,7981,27838,12,23254,4572,41781,35,36795,4951,100077,143,95085,4849,6077,"San Joaquin County, California"
106198,6829,38,5363,1428,6105,194,4757,1154,11240,0,9121,2119,11689,32,9742,1915,19442,45,16979,2418,50893,103,48190,2600,6079,"San Luis Obispo County, California"
259654,8435,83,6470,1882,12076,71,8408,3597,16512,0,12739,3773,13735,222,12088,1425,26556,26,24140,2390,182340,418,175741,6181,6081,"San Mateo County, California"
146224,7190,0,5539,1651,8719,0,4721,3998,16589,242,14324,2023,14556,61,13066,1429,23857,0,22121,1736,75313,132,72201,2980,6083,"Santa Barbara County, California"
645108,20362,0,16335,4027,28333,86,18828,9419,41393,0,34135,7258,40254,43,35847,4364,68824,226,63238,5360,445942,581,434960,10401,6085,"Santa Clara County, California"
94994,5046,0,3176,1870,5956,0,3725,2231,9420,76,6808,2536,8968,0,7817,1151,12895,0,11448,1447,52709,48,50992,1669,6087,"Santa Cruz County, California"
68198,5001,0,3475,1526,6820,0,4982,1838,9335,38,6771,2526,9535,36,7950,1549,12403,59,11720,624,25104,173,23896,1035,6089,"Shasta County, California"
152291,6082,0,4722,1360,7176,0,5251,1925,10755,70,9348,1337,15821,45,14179,1597,26591,34,25245,1312,85866,0,83260,2606,6095,"Solano County, California"
187434,7467,33,5576,1858,11699,171,8858,2670,18615,57,15651,2907,19491,97,17678,1716,29303,116,27110,2077,100859,484,98509,1866,6097,"Sonoma County, California"
175171,9012,0,5778,3234,17112,43,10713,6356,24171,221,19114,4836,22344,138,19138,3068,34011,0,31519,2492,68521,0,66119,2402,6099,"Stanislaus County, California"
31989,1731,0,1040,691,2366,0,1578,788,4932,0,3942,990,4336,0,3184,1152,6032,0,5656,376,12592,43,11872,677,6101,"Sutter County, California"
139197,11462,89,7247,4126,16463,0,9733,6730,23485,0,16228,7257,19519,0,15093,4426,23799,0,21123,2676,44469,30,41463,2976,6107,"Tulare County, California"
271980,9811,0,7675,2136,14796,0,9475,5321,25985,238,19705,6042,29478,0,25208,4270,38372,0,35585,2787,153538,0,146010,7528,6111,"Ventura County, California"
74428,5961,0,5057,904,5258,0,4071,1187,10256,0,7798,2458,7439,0,6241,1198,11230,0,10451,779,34284,0,33871,413,6113,"Yolo County, California"
26191,1265,0,618,647,3288,39,1619,1630,4118,0,3100,1018,4933,0,2816,2117,3529,0,2886,643,9058,0,8799,259,6115,"Yuba County, California"
168361,6769,0,4692,2077,8772,80,5738,2954,18551,139,15178,3234,22655,0,18971,3684,33935,260,29480,4195,77679,0,73623,4056,8001,"Adams County, Colorado"
242141,10219,0,7879,2340,12729,0,8363,4366,25365,45,22030,3290,30320,0,27597,2723,39118,178,36443,2497,124390,95,120714,3581,8005,"Arapahoe County, Colorado"
128295,8950,0,7825,1125,6988,29,5240,1719,12449,0,9979,2470,11498,90,9940,1468,18190,0,17184,1006,70220,123,67825,2272,8013,"Boulder County, Colorado"
28530,530,47,415,68,796,0,730,66,2133,0,2004,129,3104,0,2180,924,5344,0,5034,310,16623,45,16112,466,8014,"Broomfield County, Colorado"
310324,18752,209,13093,5450,22693,180,15455,7058,37352,120,30480,6752,33907,80,28866,4961,55438,113,49874,5451,142182,160,137640,4382,8031,"Denver County, Colorado"
125035,1697,0,1519,178,2892,0,2449,443,6832,0,6299,533,7179,0,6537,642,15648,104,14753,791,90787,47,89259,1481,8035,"Douglas County, Colorado"
260851,12290,0,9282,3008,15888,133,11726,4029,33930,11,28119,5800,31272,223,28603,2446,49491,195,47557,1739,117980,76,115105,2799,8041,"El Paso County, Colorado"
233272,8397,0,6123,2274,12499,112,7942,4445,19964,169,15637,4158,24003,209,21740,2054,37177,0,33139,4038,131232,227,128378,2627,8059,"Jefferson County, Colorado"
139382,6536,0,5041,1495,8047,0,5694,2353,15762,231,12686,2845,15892,0,14153,1739,27268,0,25005,2263,65877,52,63751,2074,8069,"Larimer County, Colorado"
61848,4358,0,3224,1134,7380,0,4098,3282,8652,0,7155,1497,10634,146,8814,1674,9445,113,8798,534,21379,17,20307,1055,8077,"Mesa County, Colorado"
64954,6259,0,3680,2579,7861,63,4287,3511,10582,37,7748,2797,8793,0,7123,1670,12443,0,10483,1960,19016,96,18147,773,8101,"Pueblo County, Colorado"
107929,4646,0,3206,1440,6666,0,4773,1893,11396,36,9486,1874,11786,56,9977,1753,18333,44,16444,1845,55102,70,53264,1768,8123,"Weld County, Colorado"
345634,18769,134,12556,6079,19619,51,12888,6680,32681,96,25539,7046,31092,241,26968,3883,45840,79,42399,3362,197633,165,192686,4782,9001,"Fairfield County, Connecticut"
348049,19701,34,11060,8607,27363,337,17867,9159,41785,120,30010,11655,35541,0,28343,7198,52604,86,47390,5128,171055,242,164719,6094,9003,"Hartford County, Connecticut"
73598,2494,0,1825,669,4760,77,2559,2124,10024,47,7164,2813,6745,46,5746,953,12339,44,10414,1881,37236,14,35546,1676,9005,"Litchfield County, Connecticut"
66983,2375,0,1125,1250,3386,0,2395,991,6980,60,5408,1512,6235,39,5039,1157,9848,65,8736,1047,38159,0,36568,1591,9007,"Middlesex County, Connecticut"
335539,19516,302,11536,7678,29491,32,17272,12187,39939,140,28159,11640,38000,215,30194,7591,55156,63,48714,6379,153437,222,146132,7083,9009,"New Haven County, Connecticut"
108098,4887,45,3450,1392,8826,0,4881,3945,11307,0,8843,2464,11751,11,9981,1759,21569,40,20104,1425,49758,118,48409,1231,9011,"New London County, Connecticut"
55619,2407,48,1434,925,3460,0,2222,1238,4425,153,3417,855,4309,0,3659,650,6933,0,5731,1202,34085,0,32343,1742,9013,"Tolland County, Connecticut"
44571,3043,0,2317,726,3638,0,2271,1367,4449,0,2936,1513,4972,0,4039,933,9629,75,8656,898,18840,91,17383,1366,9015,"Windham County, Connecticut"
67841,4298,0,3334,964,5869,82,4014,1773,11927,12,9050,2865,8829,49,6979,1801,13025,42,12225,758,23893,43,22535,1315,10001,"Kent County, Delaware"
206351,13654,22,10344,3288,12118,0,10166,1952,27233,130,22401,4702,21849,70,19580,2199,34829,34,32234,2561,96668,88,93831,2749,10003,"New Castle County, Delaware"
93479,4088,9,2342,1737,8735,0,5722,3013,13621,0,10295,3326,11690,74,8960,2656,19186,130,17335,1721,36159,0,33547,2612,10005,"Sussex County, Delaware"
287476,26780,46,16230,10504,20957,39,12647,8271,24937,97,18768,6072,22441,0,17920,4521,35032,0,31465,3567,157329,0,150532,6797,11001,"District of Columbia, District of Columbia"
97782,12125,0,8545,3580,9834,0,7510,2324,13759,55,10622,3082,11490,0,9679,1811,16590,0,15358,1232,33984,84,33132,768,12001,"Alachua County, Florida"
73856,3966,0,2785,1181,6951,0,4566,2385,9222,0,7437,1785,14797,0,13125,1672,15007,65,13755,1187,23913,0,23008,905,12005,"Bay County, Florida"
226363,11963,0,8939,3024,21678,131,14873,6674,32943,475,26504,5964,30565,0,28533,2032,41975,135,38005,3835,87239,205,84169,2865,12009,"Brevard County, Florida"
694980,46782,0,33289,13493,61252,206,44669,16377,98276,302,77806,20168,96196,178,83036,12982,123802,275,111825,11702,268672,203,251123,17346,12011,"Broward County, Florida"
74975,3927,0,2439,1488,8153,45,5128,2980,10452,71,8459,1922,12323,0,10637,1686,17180,0,15849,1331,22940,67,22102,771,12015,"Charlotte County, Florida"
62293,5691,0,3600,2091,8445,46,5303,3096,12934,0,10639,2295,11595,0,9965,1630,11902,0,10831,1071,11726,0,11118,608,12017,"Citrus County, Florida"
75958,3111,0,2729,382,4976,34,3624,1318,11827,0,11020,807,9455,0,8281,1174,16034,0,15252,782,30555,108,29421,1026,12019,"Clay County, Florida"
144172,4722,0,2760,1962,10388,0,7158,3230,18336,0,14722,3614,18887,133,15963,2791,24528,55,21733,2740,67311,0,62815,4496,12021,"Collier County, Florida"
25678,1665,0,978,687,3166,0,1974,1192,4276,0,2945,1331,4130,0,3545,585,4611,55,3806,750,7830,0,7270,560,12023,"Columbia County, Florida"
367238,23112,47,17071,5994,34215,86,23912,10217,54681,132,45284,9265,51636,179,44920,6537,73307,102,68035,5170,130287,74,123943,6270,12031,"Duval County, Florida"
118820,8011,32,5368,2611,8770,0,5871,2899,20644,101,15084,5459,20736,79,15981,4676,22392,0,20280,2112,38267,61,36697,1509,12033,"Escambia County, Florida"
41274,2385,0,1436,949,3706,0,2000,1706,5263,0,3171,2092,5014,0,3761,1253,8600,0,7212,1388,16306,0,13746,2560,12035,"Flagler County, Florida"
76163,6322,76,4312,1934,8574,0,6039,2535,14502,0,12247,2255,11127,0,9709,1418,16004,123,15002,879,19634,0,18968,666,12053,"Hernando County, Florida"
40573,2459,0,1523,936,5366,0,3516,1850,10499,97,7001,3401,5326,0,4356,970,7958,0,7624,334,8965,20,7902,1043,12055,"Highlands County, Florida"
540142,32362,57,23096,9209,51380,0,36875,14505,78125,286,63564,14275,69288,46,61369,7873,94838,0,88380,6458,214149,0,207358,6791,12057,"Hillsborough County, Florida"
57636,2719,0,1362,1357,6411,0,3551,2860,9529,51,7173,2305,7048,67,5794,1187,9752,0,8551,1201,22177,0,21184,993,12061,"Indian River County, Florida"
136366,7741,0,6078,1663,12419,39,8988,3392,27165,225,21913,5027,18089,14,16490,1585,25080,0,23680,1400,45872,0,44502,1370,12069,"Lake County, Florida"
281222,17520,41,12632,4847,26013,196,16766,9051,41106,123,33888,7095,40002,320,35090,4592,54356,132,49809,4415,102225,26,97721,4478,12071,"Lee County, Florida"
113390,10736,0,7415,3321,13212,0,9432,3780,16185,0,14008,2177,15792,49,14593,1150,17133,0,15800,1333,40332,95,38641,1596,12073,"Leon County, Florida"
150814,6645,0,4871,1774,12054,60,9412,2582,22675,0,18197,4478,23329,0,19842,3487,26862,0,24247,2615,59249,0,55541,3708,12081,"Manatee County, Florida"
143441,11199,0,6987,4212,16971,228,12132,4611,27686,185,21265,6236,23199,0,18903,4296,25817,0,24037,1780,38569,45,36650,1874,12083,"Marion County, Florida"
63070,3418,0,2583,835,5222,0,4095,1127,10002,263,8381,1358,7472,0,6100,1372,10931,0,9638,1293,26025,0,24918,1107,12085,"Martin County, Florida"
895801,77063,56,41753,35254,93593,144,55539,37910,142261,330,102803,39128,114747,121,91326,23300,158503,55,133533,24915,309634,0,286754,22880,12086,"Miami-Dade County, Florida"
31362,1201,0,784,417,1814,0,1014,800,4052,0,2827,1225,4569,0,3971,598,4302,28,4045,229,15424,0,15128,296,12087,"Monroe County, Florida"
32624,2412,0,1514,898,2756,67,2090,599,3037,181,2454,402,4158,97,3620,441,6135,0,5939,196,14126,0,13284,842,12089,"Nassau County, Florida"
79570,4734,0,3407,1327,5886,0,3315,2571,12060,0,8984,3076,9240,94,8377,769,15115,54,14187,874,32535,0,31251,1284,12091,"Okaloosa County, Florida"
458157,29359,100,20953,8306,36668,350,24778,11540,69090,311,57872,10907,62337,121,54488,7728,83242,46,78194,5002,177461,166,170059,7236,12095,"Orange County, Florida"
102705,5864,0,4928,936,9466,0,6038,3428,16939,44,12596,4299,18608,0,15918,2690,19559,0,18029,1530,32269,0,30782,1487,12097,"Osceola County, Florida"
552286,34882,76,25873,8933,45687,337,32686,12664,75023,262,59126,15635,69056,242,61152,7662,97949,400,89143,8406,229689,107,217567,12015,12099,"Palm Beach County, Florida"
205128,10718,0,6761,3957,22588,0,13284,9304,31875,300,23255,8320,31042,154,26040,4848,38463,50,36063,2350,70442,89,66680,3673,12101,"Pasco County, Florida"
405892,25895,152,15136,10607,42299,71,28469,13759,67380,277,49551,17552,57000,249,49859,6892,70557,202,63700,6655,142761,157,134035,8569,12103,"Pinellas County, Florida"
241171,16643,123,9539,6981,23004,165,12361,10478,38091,371,23396,14324,38644,94,29543,9007,49340,268,36723,12349,75449,136,64487,10826,12105,"Polk County, Florida"
27927,1927,42,1298,587,4538,0,2569,1969,5906,77,5124,705,4313,0,3572,741,4982,0,4583,399,6261,0,5914,347,12107,"Putnam County, Florida"
90109,3609,58,2718,833,4594,0,3442,1152,11151,0,8614,2537,8478,97,6430,1951,14523,0,12537,1986,47754,264,45563,1927,12109,"St. Johns County, Florida"
118768,6688,0,4611,2077,12019,0,8268,3751,17752,46,14984,2722,19065,0,17994,1071,23162,0,22282,880,40082,0,38512,1570,12111,"St. Lucie County, Florida"
63891,2541,72,2028,441,2941,0,2583,358,6930,0,5454,1476,9186,0,7616,1570,12953,74,12053,826,29340,0,27921,1419,12113,"Santa Rosa County, Florida"
183721,9292,159,7167,1966,13945,58,9253,4634,26861,0,21506,5355,22209,0,19447,2762,37520,0,33916,3604,73894,0,69744,4150,12115,"Sarasota County, Florida"
179274,8607,0,6333,2274,11266,60,8193,3013,21407,122,16504,4781,20334,0,16660,3674,35745,0,33224,2521,81915,0,77830,4085,12117,"Seminole County, Florida"
62854,2374,114,1769,491,5947,0,3957,1990,10035,0,8830,1205,9139,57,7995,1087,13915,124,12591,1200,21444,0,21063,381,12119,"Sumter County, Florida"
218423,14945,0,8936,6009,19682,34,13326,6322,37719,148,28097,9474,35561,0,28478,7083,42572,128,37522,4922,67944,138,63185,4621,12127,"Volusia County, Florida"
28770,1673,0,793,880,1600,0,763,837,4438,0,3734,704,4324,0,3706,618,4601,187,4269,145,12134,104,11953,77,12131,"Walton County, Florida"
27525,1266,0,972,294,1514,0,1309,205,4176,0,3276,900,4090,0,3010,1080,4841,0,4523,318,11638,0,10972,666,13013,"Barrow County, Georgia"
35506,2687,0,1683,1004,2130,0,1296,834,6053,0,3706,2347,4911,0,3852,1059,6131,0,4998,1133,13594,0,12023,1571,13015,"Bartow County, Georgia"
57905,7917,0,4914,3003,7412,0,4092,3320,10952,0,8612,2340,7526,0,5948,1578,8454,90,7434,930,15644,53,14815,776,13021,"Bibb County, Georgia"
27097,2023,0,1234,789,3842,0,2297,1545,4864,0,3469,1395,4585,0,3705,880,4523,0,3977,546,7260,0,6905,355,13031,"Bulloch County, Georgia"
41197,3315,0,2338,977,3674,0,2499,1175,6973,53,4808,2112,6048,0,4717,1331,6669,0,6086,583,14518,0,13657,861,13045,"Carroll County, Georgia"
24722,810,0,743,67,1521,0,661,860,4557,52,3601,904,3701,0,3402,299,5212,0,4785,427,8921,0,8494,427,13047,"Catoosa County, Georgia"
107921,8374,0,6501,1873,8217,0,5721,2496,18096,0,14714,3382,14219,42,13103,1074,18525,0,16397,2128,40490,37,39032,1421,13051,"Chatham County, Georgia"
89974,4196,0,3335,861,5215,0,4685,530,8439,0,7396,1043,9846,0,9280,566,13473,0,12941,532,48805,0,47603,1202,13057,"Cherokee County, Georgia"
49698,6080,0,4893,1187,6151,0,4944,1207,8760,0,6566,2194,7577,0,7090,487,7423,47,6799,577,13707,0,13219,488,13059,"Clarke County, Georgia"
96286,7391,0,4338,3053,8257,0,5863,2394,18595,137,13351,5107,16217,0,12534,3683,20092,294,16771,3027,25734,0,22450,3284,13063,"Clayton County, Georgia"
283094,11354,0,8927,2427,12115,0,10247,1868,27465,172,23044,4249,31959,138,28943,2878,51549,115,49644,1790,148652,104,143793,4755,13067,"Cobb County, Georgia"
47167,1423,0,883,540,2745,0,1551,1194,4333,0,3927,406,4167,0,3661,506,8575,0,7187,1388,25924,0,24481,1443,13073,"Columbia County, Georgia"
