index,id,county,state,total_pop,households,avg_household_income_dollars,rural_urban,one_or_more,desktop_laptop,only_desktop_laptop,smartphone,only_smartphone,tablet_portable,only_tablet_portable,other,only_other,no_computer,less10k,10k,20k,35k,50k,greater75k,dialup,broadband,internet,no_internet,perc_dialup,perc_broadband,perc_internet,perc_no_internet,high_state_income,low_state_income,state_ratio_income,national_ratio_income
19,1125,Tuscaloosa County,Alabama,208911,74053,71000,,66782,51504,2904,62290,10249,41261,794,2049,0,7271,7715,6416,11201,8886,13036,26799,332,60655,60987,13066,0.004483275491877439,0.8190755269874279,0.8235588024793054,0.17644119752069465,96481,57354,0.735896186813984,0.4032326766130727
20,1127,Walker County,Alabama,63711,24870,64412,,20611,14556,1057,19077,4079,12026,202,684,0,4259,2261,3536,3936,3218,3885,8034,91,19224,19315,5555,0.00365902694008846,0.7729794933655006,0.7766385203055891,0.22336147969441095,96481,57354,0.6676133124656668,0.3658172276901583
21,2020,Anchorage Municipality,Alaska,291538,105285,106660,,102774,88842,2062,98712,9389,74593,478,5720,0,2511,3318,5562,7853,10470,20686,57396,104,96612,96716,8569,0.0009877950325307499,0.9176235931044309,0.9186113881369615,0.08138861186303842,106660,91159,1,0.6057577082753568
22,2090,Fairbanks North Star Borough,Alaska,98971,36378,98389,,35386,30985,1717,32903,2706,24828,306,1528,0,992,1281,1812,3608,4104,7235,18338,463,32317,32780,3598,0.01272747264830392,0.888366595194898,0.9010940678432019,0.09890593215679806,106660,91159,0.9224545284080256,0.5587839411166705
23,2170,Matanuska-Susitna Borough,Alaska,107610,32198,91159,,30574,26787,1551,28389,2543,21397,100,889,0,1624,2320,2529,3417,3080,5103,15749,113,28141,28254,3944,0.0035095347537114105,0.8739983849928566,0.877507919746568,0.12249208025343189,106660,91159,0.8546690418151135,0.5177223601038182
24,4001,Apache County,Arizona,71818,21936,42002,,11613,8410,962,9774,2190,6274,350,552,0,10323,5526,2848,3498,3333,3277,3454,13,7736,7749,14187,0.0005926331145149526,0.3526622902990518,0.35325492341356673,0.6467450765864332,89077,42002,0.4715246359890881,0.23854336455073633
25,4003,Cochise County,Arizona,126770,49751,64549,,44638,39402,2766,39741,3251,28502,646,786,16,5113,3826,6172,7575,6906,9787,15485,340,41276,41616,8135,0.006834033486764085,0.8296516652931599,0.8364856987799241,0.16351430122007599,89077,42002,0.724642724833571,0.3665952963760173
26,4005,Coconino County,Arizona,142854,47275,78885,,44044,37624,2278,41047,4294,28621,49,859,0,3231,3207,3901,5630,5715,10646,18176,134,38270,38404,8871,0.002834479111581174,0.8095187731359069,0.8123532522474881,0.1876467477525119,89077,42002,0.8855821368029907,0.44801422105101746
27,4013,Maricopa County,Arizona,4410824,1582464,89077,,1500214,1307207,57746,1404488,123641,1054893,9249,50242,355,82250,77401,106658,209191,201569,294025,693620,4652,1403140,1407792,174672,0.0029397193237887245,0.8866805184825689,0.8896202378063577,0.11037976219364232,89077,42002,1,0.5058979878121503
28,4015,Mohave County,Arizona,209550,90270,57206,,80602,67373,7901,68707,8902,47503,1142,1872,0,9668,7472,10613,17062,13932,19240,21951,265,74775,75040,15230,0.002935637531848898,0.8283482884679295,0.8312839259997784,0.16871607400022157,89077,42002,0.6422084264175938,0.3248919506806681
29,4017,Navajo County,Arizona,110445,34285,53791,,27048,20566,1474,24256,4647,15312,178,918,0,7237,4685,4272,5877,5481,6101,7869,115,21917,22032,12253,0.003354236546594721,0.6392591512323174,0.6426133877789121,0.3573866122210879,89077,42002,0.6038708084017198,0.30549702686892666
30,4019,Pima County,Arizona,1039073,402323,73423,,376840,316529,16702,346286,36809,253126,3764,7610,25,25483,28808,38939,59376,61243,77015,136942,1602,349686,351288,51035,0.0039818752594308554,0.8691673108422835,0.8731491861017143,0.1268508138982857,89077,42002,0.8242644004625211,0.416993701619178
31,4021,Pinal County,Arizona,447138,147936,69864,,138369,121272,6354,126346,9748,100798,1281,4898,0,9567,8490,9129,22792,19614,34474,53437,357,128280,128637,19299,0.002413205710577547,0.8671317326411421,0.8695449383517196,0.13045506164828033,89077,42002,0.7843102035317758,0.3967809537872635
32,4025,Yavapai County,Arizona,231993,100836,65373,,92633,77780,6783,80795,8801,58860,1009,2732,0,8203,5256,12819,18130,15904,19982,28745,439,84842,85281,15555,0.004353603871633147,0.8413860129318894,0.8457396168035225,0.15426038319647745,89077,42002,0.733893148624224,0.3712750671581183
33,4027,Yuma County,Arizona,212128,74532,59035,,66552,53466,3024,60541,7597,43287,743,1927,0,7980,6122,8025,16093,10489,13346,20457,446,59344,59790,14742,0.00598400686953255,0.7962217570976226,0.802205763967155,0.19779423603284496,89077,42002,0.6627412238849535,0.3352794516035598
34,5007,Benton County,Arkansas,272608,100128,97031,,94182,81112,3187,89237,8782,68677,512,1475,0,5946,2705,6618,12504,13302,18973,46026,89,84126,84215,15913,0.0008888622563119207,0.8401845637583892,0.8410734260147011,0.15892657398529883,97031,53235,1,0.5510714062597614
35,5031,Craighead County,Arkansas,108558,42631,62797,,39087,30722,2333,35618,5574,23771,331,400,0,3544,3789,4772,8113,6318,7706,11933,0,34008,34008,8623,0,0.7977293518800873,0.7977293518800873,0.20227064811991274,97031,53235,0.6471849202832085,0.35664510413057926
36,5045,Faulkner County,Arkansas,124806,43701,71385,,39629,34115,1701,36389,3323,31032,499,655,103,4072,3837,4263,7483,5849,6899,15370,53,35278,35331,8370,0.0012127868927484496,0.8072584151392417,0.8084712020319901,0.1915287979680099,97031,53235,0.7356927167606229,0.40541922000034075
37,5051,Garland County,Arkansas,99154,40407,63690,,37110,27877,1737,34146,5411,22510,480,492,0,3297,3797,3888,8103,5937,7930,10752,34,33074,33108,7299,0.0008414383646397902,0.8185215432969535,0.8193629816615933,0.1806370183384067,97031,53235,0.6563881646071874,0.36171674892234645
38,5069,Jefferson County,Arkansas,68114,25689,53235,,22166,13304,663,21133,6196,11292,205,476,0,3523,2810,3284,6551,3003,3984,6057,163,17407,17570,8119,0.006345128265016155,0.6776052006695473,0.6839503289345634,0.3160496710654366,97031,53235,0.5486390947223052,0.30233931745770315
39,5085,Lonoke County,Arkansas,73657,28132,70716,,25624,19720,796,24229,3868,17401,173,676,0,2508,1106,3340,4647,4331,5279,9429,19,23747,23766,4366,0.0006753874591212853,0.8441276837764823,0.8448030712356036,0.15519692876439642,97031,53235,0.7287980130061527,0.4016197459066204
40,5119,Pulaski County,Arkansas,392680,157678,78950,,143655,112748,4907,134884,21228,84586,1228,2660,60,14023,12603,16353,25511,25120,23880,54211,450,127424,127874,29804,0.0028539174773906315,0.8081279569756085,0.8109818744529992,0.18901812554700084,97031,53235,0.8136574909049685,0.44838337772679
41,5125,Saline County,Arkansas,121421,43496,76913,,40809,32942,1374,38894,4852,27203,57,721,0,2687,2622,2739,5264,6638,8318,17915,235,36921,37156,6340,0.005402795659370976,0.8488366746367482,0.8542394702961191,0.14576052970388081,97031,53235,0.7926642001009987,0.4368145754414262
42,5131,Sebastian County,Arkansas,127753,51739,65730,,47160,33589,1477,44020,8071,29780,829,1282,0,4579,3099,6199,10678,7960,8680,15123,166,41461,41627,10112,0.003208411449776764,0.8013490790312917,0.8045574904810684,0.19544250951893155,97031,53235,0.6774123733652132,0.37330258920813053
43,5143,Washington County,Arkansas,236961,90001,72794,,84136,70653,2985,79578,9546,52198,288,1228,0,5865,7283,9237,13718,14326,17112,28325,632,72913,73545,16456,0.007022144198397796,0.8101354429395229,0.8171575871379206,0.1828424128620793,97031,53235,0.7502138491822201,0.41342140086439455
44,5145,White County,Arkansas,78727,29577,62733,,25602,19561,2050,23093,4747,14264,113,398,0,3975,2667,3942,5647,4385,5324,7612,0,23199,23199,6378,0,0.7843594685059336,0.7843594685059336,0.21564053149406634,97031,53235,0.6465253372633488,0.3562816267882801
45,6001,Alameda County,California,1666753,575410,134377,,549040,504098,16100,521395,26215,413448,3153,44015,138,26370,24297,30240,45760,43093,75744,356276,836,526017,526853,48557,0.001452877078952399,0.9141603378460575,0.91561321492501,0.08438678507499,176077,60686,0.7631717941582375,0.7631717941582375
46,6007,Butte County,California,231256,88636,72948,,83087,71638,5251,73977,7276,55453,1125,1771,0,5549,5928,11394,14458,11353,14598,30905,46,77422,77468,11168,0.0005189764881086691,0.8734825578771606,0.8740015343652692,0.1259984656347308,176077,60686,0.4142960182193018,0.4142960182193018
47,6013,Contra Costa County,California,1150215,396133,137621,,380012,342255,11527,359390,19822,293344,2450,11258,38,16121,12542,19757,30216,33193,49744,250681,472,367267,367739,28394,0.0011915190100294597,0.9271305344417153,0.9283220534517448,0.07167794654825525,176077,60686,0.7815955519460236,0.7815955519460236
48,6017,El Dorado County,California,190678,72774,108803,,69132,63043,3829,62886,3622,47131,768,2374,0,3642,3406,4105,7712,6092,10848,40611,146,65470,65616,7158,0.0020062110094264435,0.8996344848434881,0.9016406958529145,0.09835930414708549,176077,60686,0.6179285199089035,0.6179285199089035
49,6019,Fresno County,California,994400,309519,72519,,279866,216263,9222,262049,42240,176478,3481,10506,60,29653,20872,33401,51728,41520,53981,108017,323,251665,251988,57531,0.00104355467677267,0.813084172538681,0.8141277272154537,0.18587227278454635,176077,60686,0.4118595841592031,0.4118595841592031
50,6023,Humboldt County,California,136373,55773,64549,,52300,42756,3454,45913,3671,32196,1485,6252,0,3473,3235,7659,9676,7100,11658,16445,85,48572,48657,7116,0.001524034927294569,0.8708873469241389,0.8724113818514335,0.1275886181485665,176077,60686,0.3665952963760173,0.3665952963760173
51,6025,Imperial County,California,181827,41764,60686,,38640,28583,1357,35797,5340,26360,616,1451,0,3124,3998,5885,5662,5571,7105,13543,49,35940,35989,5775,0.0011732592663537976,0.8605497557705201,0.8617230150368739,0.13827698496312613,176077,60686,0.3446560311681821,0.3446560311681821
52,6029,Kern County,California,896764,273167,71441,,251273,194748,8279,236365,40040,146794,2842,5201,44,21894,21121,30161,44237,36733,47482,93433,471,230140,230611,42556,0.0017242199826479772,0.8424882947061687,0.8442125146888168,0.15578748531118328,176077,60686,0.4057372626748525,0.4057372626748525
53,6031,Kings County,California,151366,43727,74030,,40173,31968,1160,37694,4565,27016,505,595,0,3554,2901,3084,5349,5671,10238,16484,0,36770,36770,6957,0,0.8408992155876233,0.8408992155876233,0.1591007844123768,176077,60686,0.4204410570375461,0.4204410570375461
54,6033,Lake County,California,64382,26774,71170,,24036,19321,1718,21540,2983,14488,355,491,0,2738,1584,3144,4749,4198,5264,7835,0,21215,21215,5559,0,0.7923731978785389,0.7923731978785389,0.20762680212146112,176077,60686,0.4041981633035547,0.4041981633035547
55,6037,Los Angeles County,California,10105518,3313908,98977,,3094720,2659755,99419,2933995,282567,2065080,18124,110202,662,219188,198451,282223,399656,370725,537381,1525472,5933,2861859,2867792,446116,0.0017903333466107085,0.8635903591771407,0.8653806925237514,0.1346193074762486,176077,60686,0.5621233891990436,0.5621233891990436
56,6039,Madera County,California,157672,44484,71817,,40738,31689,2165,37465,5342,26010,368,1166,0,3746,2315,4478,5595,7284,9685,15127,73,38875,38948,5536,0.001641039474867368,0.8739097203488895,0.8755507598237569,0.12444924017624315,176077,60686,0.40787269206085974,0.40787269206085974
57,6041,Marin County,California,259666,104954,172907,,101622,96467,4662,94535,2258,78012,733,3421,0,3332,3381,4936,5875,7027,11540,72195,256,98638,98894,6060,0.002439163824151533,0.9398212550260114,0.9422604188501629,0.05773958114983707,176077,60686,0.9819965128892473,0.9819965128892473
58,6045,Mendocino County,California,87606,33794,66691,,30311,25288,2502,26386,2738,17844,365,453,0,3483,1447,4963,4817,5014,7239,10314,203,28621,28824,4970,0.00600698348819317,0.8469254897319051,0.8529324732200982,0.14706752677990176,176077,60686,0.37876042867609055,0.37876042867609055
59,6047,Merced County,California,274765,79487,76713,,73109,54396,2531,69282,12223,45679,274,2663,0,6378,5086,7877,12401,9899,14350,29874,0,69917,69917,9570,0,0.879602953942154,0.879602953942154,0.12039704605784594,176077,60686,0.43567870874674147,0.43567870874674147
60,6053,Monterey County,California,435594,126299,100358,,118675,92757,4293,111411,21468,60896,345,2496,35,7624,4412,8180,15518,14379,24000,59810,268,110230,110498,15801,0.0021219487090159066,0.872770172368744,0.8748921210777599,0.12510787892224007,176077,60686,0.5699665487258415,0.5699665487258415
61,6055,Napa County,California,139417,47315,112978,,44730,40103,2256,40794,2238,31541,373,1381,0,2585,1543,2374,5177,3974,7511,26736,105,43383,43488,3827,0.0022191693965972737,0.9168973898340906,0.9191165592306879,0.08088344076931206,176077,60686,0.6416397371604469,0.6416397371604469
62,6057,Nevada County,California,99696,41447,86835,,38969,35502,2623,34330,1623,28040,350,1561,0,2478,1920,4201,5031,5229,5939,19127,183,36409,36592,4855,0.004415277342147804,0.8784471734986851,0.8828624508408329,0.11713754915916713,176077,60686,0.49316492216473473,0.49316492216473473
63,6059,Orange County,California,3185968,1040394,122301,,1000857,909008,28913,948574,52025,754819,5839,35868,45,39537,47197,54746,93970,91982,152435,600064,1581,958124,959705,80689,0.0015196166067855063,0.9209241883363418,0.9224438049431273,0.07755619505687268,176077,60686,0.6945881631331747,0.6945881631331747
64,6061,Placer County,California,393149,144691,111541,,138946,130081,5815,130357,4341,108607,612,6143,0,5745,5754,7995,16466,12360,20294,81822,247,131099,131346,13345,0.0017070861352813927,0.9060618836002239,0.9077689697355054,0.09223103026449468,176077,60686,0.6334785349591372,0.6334785349591372
65,6065,Riverside County,California,2450758,728103,89761,,687688,587572,27005,642717,57903,493675,5561,19979,255,40415,42146,57285,96928,82796,124204,324744,1546,647116,648662,79441,0.0021233259580031947,0.8887698581107343,0.8908931840687375,0.10910681593126247,176077,60686,0.5097826519079721,0.5097826519079721
66,6067,Sacramento County,California,1540975,543560,89707,,518300,458995,17987,487567,36421,374655,3158,27046,151,25260,28891,44645,62840,62056,92332,252796,1204,491806,493010,50550,0.002215026859960262,0.9047869600412098,0.9070019869011701,0.09299801309882993,176077,60686,0.5094759679004072,0.5094759679004072
67,6071,San Bernardino County,California,2171603,638647,82105,,604937,497069,19851,569660,63675,422422,5233,15117,144,33710,33089,55286,84385,74761,117125,274001,1191,548721,549912,88735,0.0018648799728175345,0.8591929500960624,0.86105783006888,0.13894216993112002,176077,60686,0.4663016748354413,0.4663016748354413
68,6073,San Diego County,California,3343364,1130911,106237,,1086855,973980,32473,1028940,63685,788461,7889,31556,142,44056,48592,72645,119013,119170,181317,590174,1944,1042203,1044147,86764,0.0017189681592981233,0.9215605825745793,0.9232795507338774,0.07672044926612262,176077,60686,0.6033553502160987,0.6033553502160987
69,6075,San Francisco County,California,883305,362827,166893,,340536,311468,9572,324767,20248,250112,2122,21583,104,22291,19249,25750,29312,23032,36650,228834,722,323105,323827,39000,0.0019899290846601826,0.8905208267300945,0.8925107558147547,0.1074892441852453,176077,60686,0.947841001380078,0.947841001380078
70,6077,San Joaquin County,California,752660,231917,84697,,217678,171939,6445,204624,21890,156850,2001,4789,32,14239,10934,20334,30953,27838,41781,100077,1015,196978,197993,33924,0.0043765657541275545,0.8493469646468349,0.8537235304009624,0.1462764695990376,176077,60686,0.48102250719855516,0.48102250719855516
71,6079,San Luis Obispo County,California,284010,106198,96520,,99874,88815,4543,91849,7642,66627,826,2478,67,6324,6829,6105,11240,11689,19442,50893,412,94152,94564,11634,0.003879545754157329,0.8865703685568467,0.890449914311004,0.10955008568899603,176077,60686,0.5481692668548419,0.5481692668548419
72,6081,San Mateo County,California,769545,259654,176077,,250464,232961,7274,237815,11101,199430,988,10734,198,9190,8435,12076,16512,13735,26556,182340,820,239586,240406,19248,0.003158048788002496,0.9227125328321536,0.925870581620156,0.07412941837984395,176077,60686,1,1
73,6083,Santa Barbara County,California,446527,146224,110655,,138374,121189,5732,128538,9852,100514,769,3200,22,7850,7190,8719,16589,14556,23857,75313,435,131972,132407,13817,0.002974887843308896,0.902533099901521,0.9055079877448299,0.09449201225517015,176077,60686,0.6284466455016839,0.6284466455016839
74,6085,Santa Clara County,California,1937570,645108,170966,,623546,579756,16692,593499,24176,492916,3934,25822,234,21562,20362,28333,41393,40254,68824,445942,936,603343,604279,40829,0.001450919845979278,0.935258902385337,0.9367098222313163,0.06329017776868369,176077,60686,0.9709729266173321,0.9709729266173321
75,6087,Santa Cruz County,California,274255,94994,119608,,89378,81041,4059,82515,4042,63825,1190,2813,42,5616,5046,5956,9420,8968,12895,52709,124,83966,84090,10904,0.0013053456007747857,0.8839084573762553,0.8852138029770301,0.11478619702296987,176077,60686,0.679293718089245,0.679293718089245
76,6089,Shasta County,California,180040,68198,71942,,63143,51914,3822,56416,5422,41536,742,1485,0,5055,5001,6820,9335,9535,12403,25104,306,58794,59100,9098,0.004486935100736092,0.8621073931786856,0.8665943282794217,0.13340567172057832,176077,60686,0.40858260874503766,0.40858260874503766
77,6095,Solano County,California,446610,152291,102658,,145529,127734,5073,137107,11790,92083,808,3698,55,6762,6082,7176,10755,15821,26591,85866,149,142005,142154,10137,0.0009783900558798615,0.9324582542632197,0.9334366443190997,0.06656335568090038,176077,60686,0.5830290157147158,0.5830290157147158
78,6097,Sonoma County,California,499942,187434,108278,,179720,160906,10106,163001,9084,129905,2419,4406,0,7714,7467,11699,18615,19491,29303,100859,958,173382,174340,13094,0.005111132451956422,0.9250296104228688,0.9301407428748253,0.06985925712517473,176077,60686,0.6149468698353561,0.6149468698353561
79,6099,Stanislaus County,California,549815,175171,78370,,162869,129143,6099,151663,19504,108609,1877,4563,149,12302,9012,17112,24171,22344,34011,68521,402,152381,152783,22388,0.00229490041159781,0.8698985562678754,0.8721934566794732,0.1278065433205268,176077,60686,0.4450893643122043,0.4450893643122043
80,6101,Sutter County,California,96807,31989,81131,,29191,24057,1019,26972,3403,19455,170,1051,0,2798,1731,2366,4932,4336,6032,12592,43,27272,27315,4674,0.0013442120729000595,0.8525430616774516,0.8538872737503517,0.14611272624964833,176077,60686,0.46077000403232676,0.46077000403232676
81,6107,Tulare County,California,465861,139197,71856,,122672,84751,4040,115080,25906,70445,1106,2205,0,16525,11462,16463,23485,19519,23799,44469,119,110887,111006,28191,0.0008549034821152755,0.7966191800110635,0.7974740834931787,0.20252591650682128,176077,60686,0.40809418606632325,0.40809418606632325
82,6111,Ventura County,California,850967,271980,110437,,254813,226920,10441,237189,13438,192006,2043,33857,0,17167,9811,14796,25985,29478,38372,153538,238,243658,243896,28084,0.0008750643429663946,0.895867343186999,0.8967424075299655,0.10325759247003456,176077,60686,0.6272085508044776,0.6272085508044776
83,6113,Yolo County,California,220408,74428,94082,,70734,62928,3129,66219,4003,49973,455,1979,0,3694,5961,5258,10256,7439,11230,34284,0,67489,67489,6939,0,0.9067689579190628,0.9067689579190628,0.09323104208093728,176077,60686,0.5343230518466353,0.5343230518466353
84,6115,Yuba County,California,78041,26191,64235,,22746,18045,1157,20364,3228,13687,388,519,0,3445,1265,3288,4118,4933,3529,9058,39,19838,19877,6314,0.0014890611278683518,0.7574357603757016,0.7589248215035699,0.24107517849643006,176077,60686,0.3648119856653623,0.3648119856653623
85,8001,Adams County,Colorado,511868,168361,88163,,158905,133894,6979,148482,15174,109532,1242,3807,142,9456,6769,8772,18551,22655,33935,77679,479,147682,148161,20200,0.002845076947749182,0.8771746425834962,0.8800197195312454,0.11998028046875464,145975,60765,0.603959582120226,0.5007070770174412
86,8005,Arapahoe County,Colorado,651215,242141,103078,,232126,206476,8609,216878,16495,164450,1727,5592,0,10015,10219,12729,25365,30320,39118,124390,318,223026,223344,18797,0.001313284408670981,0.9210583915982836,0.9223716760069546,0.07762832399304538,145975,60765,0.7061346120911115,0.5854143357735536
87,8013,Boulder County,Colorado,326078,128295,113968,,123421,115072,5359,115226,4566,90900,708,3383,53,4874,8950,6988,12449,11498,18190,70220,242,117993,118235,10060,0.0018862777193187576,0.9197006898164387,0.9215869675357574,0.07841303246424257,145975,60765,0.7807364274704572,0.6472622772991362
88,8014,Broomfield County,Colorado,69267,28530,120782,,27966,26071,331,27395,1124,22477,0,761,0,564,530,796,2133,3104,5344,16623,92,26475,26567,1963,0.003224675779880827,0.9279705573080967,0.9311952330879776,0.06880476691202243,145975,60765,0.8274156533653023,0.6859612555870443
89,8031,Denver County,Colorado,716492,310324,99728,,294918,262698,9412,279229,21390,200052,1339,7471,104,15406,18752,22693,37352,33907,55438,142182,862,275408,276270,34054,0.002777741972905737,0.8874853379048994,0.8902630798778052,0.10973692012219487,145975,60765,0.6831854769652338,0.5663885686375847
90,8035,Douglas County,Colorado,342776,125035,145975,,122857,118472,2568,117729,1996,103263,541,3802,78,2178,1697,2892,6832,7179,15648,90787,151,120816,120967,4068,0.0012076618546806894,0.9662574479145839,0.9674651097692646,0.03253489023073539,145975,60765,1,0.829040703783004
91,8041,El Paso County,Colorado,713856,260851,87839,,247781,223251,9006,232495,16592,179897,1232,6601,114,13070,12290,15888,33930,31272,49491,117980,638,240392,241030,19821,0.002445840728998547,0.9215682516072394,0.9240140923362379,0.07598590766376206,145975,60765,0.6017400239767083,0.498866972972052
92,8059,Jefferson County,Colorado,580233,233272,106269,,219964,200737,9050,203333,10773,155436,1732,5416,161,13308,8397,12499,19964,24003,37177,131232,717,212959,213676,19596,0.003073665077677561,0.9129213964813608,0.9159950615590384,0.08400493844096163,145975,60765,0.7279945196095222,0.6035370888872482
93,8069,Larimer County,Colorado,350518,139382,92688,,133801,123300,4207,125987,4773,100739,1184,4260,0,5581,6536,8047,15762,15892,27268,65877,283,126330,126613,12769,0.0020303912987329783,0.9063580663213328,0.9083884576200657,0.09161154237993428,145975,60765,0.6349580407604042,0.5264060609846828
94,8077,Mesa County,Colorado,153207,61848,68620,,56995,48177,3380,50481,5663,37166,654,1149,0,4853,4358,7380,8652,10634,9445,21379,276,52396,52672,9176,0.00446255335661622,0.8471737162074764,0.8516362695640927,0.1483637304359074,145975,60765,0.470080493235143,0.3897158629463246
95,8101,Pueblo County,Colorado,167529,64954,60765,,57916,45062,3797,51103,8511,35820,833,1331,0,7038,6259,7861,10582,8793,12443,19016,196,51468,51664,13290,0.003017520091141423,0.7923761431166672,0.7953936632078086,0.2046063367921914,145975,60765,0.4162699092310327,0.3451046985125826
